,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,627,0,623,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,627,0,623,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,627,0,623,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,627,0,623,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,627,0,623,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,627,0,623,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,627,0,623,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,627,0,623,0
MultinomialNB,0.812,0.7273781902552204,1.0,0.8421759570181331,0.622792937399679,1.0,627,235,388,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,627,0,623,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,627,0,623,0
