,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,1249,0,1251,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1249,0,1251,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1249,0,1251,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,1249,0,1251,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1249,0,1251,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1249,0,1251,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1249,0,1251,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1249,0,1251,0
MultinomialNB,0.7784,0.6927343316694399,1.0,0.8184796854521625,0.5571542765787371,1.0,1249,554,697,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,1249,0,1251,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1249,0,1251,0
