,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,638,0,612,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,638,0,612,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,638,0,612,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,638,0,612,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,638,0,612,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,638,0,612,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,638,0,612,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,638,0,612,0
MultinomialNB,0.7416,0.663891779396462,1.0,0.7979987492182614,0.4722222222222222,1.0,638,323,289,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,638,0,612,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,638,0,612,0
