,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,2436,0,2564,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,2436,0,2564,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,2436,0,2564,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,2436,0,2564,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,2436,0,2564,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,2436,0,2564,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,2436,0,2564,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,2436,0,2564,0
MultinomialNB,0.7716,0.6808272778088318,1.0,0.8101097439308281,0.5546021840873635,1.0,2436,1142,1422,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,2436,0,2564,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,2436,0,2564,0
