,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,128,0,119,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,128,0,119,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,128,0,119,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,128,0,119,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,128,0,119,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,128,0,119,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,128,0,119,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,128,0,119,0
MultinomialNB,0.7773279352226721,0.9397590361445783,0.609375,0.7393364928909952,0.957983193277311,0.609375,78,5,114,50
GaussianNB,0.9271255060728745,0.9661016949152542,0.890625,0.9268292682926829,0.9663865546218487,0.890625,114,4,115,14
SVC,1.0,1.0,1.0,1.0,1.0,1.0,128,0,119,0
