,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,103,0,111,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,103,0,111,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,103,0,111,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,103,0,111,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,103,0,111,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,103,0,111,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,103,0,111,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,103,0,111,0
MultinomialNB,0.7757009345794392,0.8021978021978022,0.7087378640776699,0.752577319587629,0.8378378378378378,0.7087378640776699,73,18,93,30
GaussianNB,0.9065420560747663,0.9029126213592233,0.9029126213592233,0.9029126213592235,0.9099099099099099,0.9029126213592233,93,10,101,10
SVC,1.0,1.0,1.0,1.0,1.0,1.0,103,0,111,0
