,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,95,0,97,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,95,0,97,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,95,0,97,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,95,0,97,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,95,0,97,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,95,0,97,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,95,0,97,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,95,0,97,0
MultinomialNB,0.890625,0.9302325581395349,0.8421052631578947,0.8839779005524862,0.9381443298969072,0.8421052631578947,80,6,91,15
GaussianNB,0.9427083333333334,0.9468085106382979,0.9368421052631579,0.9417989417989417,0.9484536082474226,0.9368421052631579,89,5,92,6
SVC,1.0,1.0,1.0,1.0,1.0,1.0,95,0,97,0
