,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,142,0,131,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,142,0,131,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,142,0,131,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,142,0,131,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,142,0,131,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,142,0,131,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,142,0,131,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,142,0,131,0
MultinomialNB,0.7912087912087912,0.8014184397163121,0.795774647887324,0.7985865724381624,0.7862595419847328,0.795774647887324,113,28,103,29
GaussianNB,0.8827838827838828,0.8618421052631579,0.9225352112676056,0.8911564625850339,0.8396946564885496,0.9225352112676056,131,21,110,11
SVC,1.0,1.0,1.0,1.0,1.0,1.0,142,0,131,0
