,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,92,0,105,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,92,0,105,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,92,0,105,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,92,0,105,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,92,0,105,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,92,0,105,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,92,0,105,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,92,0,105,0
MultinomialNB,0.7614213197969543,0.7710843373493976,0.6956521739130435,0.7314285714285714,0.819047619047619,0.6956521739130435,64,19,86,28
GaussianNB,0.934010152284264,0.9759036144578314,0.8804347826086957,0.9257142857142858,0.9809523809523809,0.8804347826086957,81,2,103,11
SVC,1.0,1.0,1.0,1.0,1.0,1.0,92,0,105,0
