,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,3141,0,3109,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,3141,0,3109,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,3141,0,3109,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,3141,0,3109,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,3141,0,3109,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,3141,0,3109,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,3141,0,3109,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,3141,0,3109,0
MultinomialNB,0.85376,0.7745992601726264,1.0,0.8729849916620345,0.7060147957542618,1.0,3141,914,2195,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,3141,0,3109,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,3141,0,3109,0
