,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,169,0,192,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,169,0,192,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,169,0,192,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,169,0,192,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,169,0,192,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,169,0,192,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,169,0,192,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,169,0,192,0
MultinomialNB,0.8587257617728532,0.8734177215189873,0.8165680473372781,0.8440366972477064,0.8958333333333334,0.8165680473372781,138,20,172,31
GaussianNB,0.9418282548476454,0.9404761904761905,0.9349112426035503,0.9376854599406528,0.9479166666666666,0.9349112426035503,158,10,182,11
SVC,1.0,1.0,1.0,1.0,1.0,1.0,169,0,192,0
