,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,1230,0,1270,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1230,0,1270,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1230,0,1270,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,1230,0,1270,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1230,0,1270,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1230,0,1270,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1230,0,1270,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1230,0,1270,0
MultinomialNB,0.6348,0.5739617358842743,1.0,0.7293210791580196,0.2811023622047244,1.0,1230,913,357,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,1230,0,1270,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1230,0,1270,0
