,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,1244,0,1256,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1244,0,1256,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1244,0,1256,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,1244,0,1256,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1244,0,1256,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1244,0,1256,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1244,0,1256,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1244,0,1256,0
MultinomialNB,0.72,0.6399176954732511,1.0,0.780426599749059,0.4426751592356688,1.0,1244,700,556,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,1244,0,1256,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1244,0,1256,0
