,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,42,0,42,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,42,0,42,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,42,0,42,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,42,0,42,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,42,0,42,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,42,0,42,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,42,0,42,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,42,0,42,0
MultinomialNB,0.7738095238095238,0.8285714285714286,0.6904761904761905,0.7532467532467533,0.8571428571428571,0.6904761904761905,29,6,36,13
GaussianNB,0.9404761904761905,0.9302325581395349,0.9523809523809523,0.9411764705882352,0.9285714285714286,0.9523809523809523,40,3,39,2
SVC,1.0,1.0,1.0,1.0,1.0,1.0,42,0,42,0
