,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,100,0,90,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,100,0,90,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,100,0,90,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,100,0,90,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,100,0,90,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,100,0,90,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,100,0,90,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,100,0,90,0
MultinomialNB,0.8,0.8369565217391305,0.77,0.8020833333333334,0.8333333333333334,0.77,77,15,75,23
GaussianNB,0.9105263157894737,0.946236559139785,0.88,0.911917098445596,0.9444444444444444,0.88,88,5,85,12
SVC,1.0,1.0,1.0,1.0,1.0,1.0,100,0,90,0
