,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,144,0,127,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,144,0,127,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,144,0,127,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,144,0,127,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,144,0,127,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,144,0,127,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,144,0,127,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,144,0,127,0
MultinomialNB,0.7822878228782287,0.7931034482758621,0.7986111111111112,0.7958477508650519,0.7637795275590551,0.7986111111111112,115,30,97,29
GaussianNB,0.8929889298892989,0.8807947019867549,0.9236111111111112,0.9016949152542373,0.8582677165354331,0.9236111111111112,133,18,109,11
SVC,1.0,1.0,1.0,1.0,1.0,1.0,144,0,127,0
