,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,146,0,131,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,146,0,131,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,146,0,131,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,146,0,131,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,146,0,131,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,146,0,131,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,146,0,131,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,146,0,131,0
MultinomialNB,0.7111913357400722,0.775,0.636986301369863,0.6992481203007519,0.7938931297709924,0.636986301369863,93,27,104,53
GaussianNB,0.8772563176895307,0.868421052631579,0.9041095890410958,0.8859060402684564,0.8473282442748091,0.9041095890410958,132,20,111,14
SVC,1.0,1.0,1.0,1.0,1.0,1.0,146,0,131,0
