,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,14,0,15,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,14,0,15,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,14,0,15,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,14,0,15,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,14,0,15,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,14,0,15,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,14,0,15,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,14,0,15,0
MultinomialNB,0.6896551724137931,0.7777777777777778,0.5,0.6086956521739131,0.8666666666666667,0.5,7,2,13,7
GaussianNB,0.9310344827586207,1.0,0.8571428571428571,0.923076923076923,1.0,0.8571428571428571,12,0,15,2
SVC,1.0,1.0,1.0,1.0,1.0,1.0,14,0,15,0
