,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,2453,0,2547,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,2453,0,2547,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,2453,0,2547,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,2453,0,2547,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,2453,0,2547,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,2453,0,2547,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,2453,0,2547,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,2453,0,2547,0
MultinomialNB,0.7156,0.6330322580645161,1.0,0.7752844500632112,0.4416961130742049,1.0,2453,1422,1125,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,2453,0,2547,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,2453,0,2547,0
