,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,168,0,182,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,168,0,182,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,168,0,182,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,168,0,182,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,168,0,182,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,168,0,182,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,168,0,182,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,168,0,182,0
MultinomialNB,0.7485714285714286,0.7352941176470589,0.7440476190476191,0.7396449704142012,0.7527472527472527,0.7440476190476191,125,45,137,43
GaussianNB,0.9,0.8715083798882681,0.9285714285714286,0.899135446685879,0.8736263736263736,0.9285714285714286,156,23,159,12
SVC,1.0,1.0,1.0,1.0,1.0,1.0,168,0,182,0
