,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,63,0,57,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,63,0,57,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,63,0,57,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,63,0,57,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,63,0,57,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,63,0,57,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,63,0,57,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,63,0,57,0
MultinomialNB,0.7833333333333333,0.7846153846153846,0.8095238095238095,0.7968749999999999,0.7543859649122807,0.8095238095238095,51,14,43,12
GaussianNB,0.8916666666666667,0.9032258064516129,0.8888888888888888,0.8959999999999999,0.8947368421052632,0.8888888888888888,56,6,51,7
SVC,1.0,1.0,1.0,1.0,1.0,1.0,63,0,57,0
