,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,142,0,135,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,142,0,135,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,142,0,135,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,142,0,135,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,142,0,135,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,142,0,135,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,142,0,135,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,142,0,135,0
MultinomialNB,0.7472924187725631,0.8333333333333334,0.6338028169014085,0.72,0.8666666666666667,0.6338028169014085,90,18,117,52
GaussianNB,0.9494584837545126,0.9705882352941176,0.9295774647887324,0.9496402877697842,0.9703703703703703,0.9295774647887324,132,4,131,10
SVC,1.0,1.0,1.0,1.0,1.0,1.0,142,0,135,0
