,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,101,0,81,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,101,0,81,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,101,0,81,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,101,0,81,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,101,0,81,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,101,0,81,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,101,0,81,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,101,0,81,0
MultinomialNB,0.7912087912087912,0.8315789473684211,0.7821782178217822,0.8061224489795918,0.8024691358024691,0.7821782178217822,79,16,65,22
GaussianNB,0.8901098901098901,0.8857142857142857,0.9207920792079208,0.9029126213592233,0.8518518518518519,0.9207920792079208,93,12,69,8
SVC,1.0,1.0,1.0,1.0,1.0,1.0,101,0,81,0
