,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,2435,0,65,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,2435,0,65,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,2435,0,65,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,2435,0,65,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,2435,0,65,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,2435,0,65,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,2435,0,65,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,2435,0,65,0
MultinomialNB,0.9864,0.9862292426083434,1.0,0.9930668841761827,0.47692307692307695,1.0,2435,34,31,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,2435,0,65,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,2435,0,65,0
