,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,136,0,126,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,136,0,126,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,136,0,126,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,136,0,126,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,136,0,126,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,136,0,126,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,136,0,126,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,136,0,126,0
MultinomialNB,0.7366412213740458,0.8130841121495327,0.6397058823529411,0.7160493827160493,0.8412698412698413,0.6397058823529411,87,20,106,49
GaussianNB,0.9427480916030534,0.9689922480620154,0.9191176470588235,0.9433962264150944,0.9682539682539683,0.9191176470588235,125,4,122,11
SVC,1.0,1.0,1.0,1.0,1.0,1.0,136,0,126,0
