,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,44,0,39,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,44,0,39,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,44,0,39,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,44,0,39,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,44,0,39,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,44,0,39,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,44,0,39,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,44,0,39,0
MultinomialNB,0.8795180722891566,0.9047619047619048,0.8636363636363636,0.8837209302325582,0.8974358974358975,0.8636363636363636,38,4,35,6
GaussianNB,0.963855421686747,0.9767441860465116,0.9545454545454546,0.9655172413793104,0.9743589743589743,0.9545454545454546,42,1,38,2
SVC,1.0,1.0,1.0,1.0,1.0,1.0,44,0,39,0
