,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,19,0,9,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,19,0,9,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,19,0,9,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,19,0,9,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,19,0,9,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,19,0,9,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,19,0,9,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,19,0,9,0
MultinomialNB,0.75,0.875,0.7368421052631579,0.7999999999999999,0.7777777777777778,0.7368421052631579,14,2,7,5
GaussianNB,0.9642857142857143,1.0,0.9473684210526315,0.972972972972973,1.0,0.9473684210526315,18,0,9,1
SVC,1.0,1.0,1.0,1.0,1.0,1.0,19,0,9,0
