,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,108,0,123,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,108,0,123,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,108,0,123,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,108,0,123,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,108,0,123,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,108,0,123,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,108,0,123,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,108,0,123,0
MultinomialNB,0.7922077922077922,0.7941176470588235,0.75,0.7714285714285715,0.8292682926829268,0.75,81,21,102,27
GaussianNB,0.9523809523809523,0.9369369369369369,0.9629629629629629,0.9497716894977168,0.943089430894309,0.9629629629629629,104,7,116,4
SVC,1.0,1.0,1.0,1.0,1.0,1.0,108,0,123,0
