,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,1277,0,1223,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1277,0,1223,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1277,0,1223,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,1277,0,1223,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1277,0,1223,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1277,0,1223,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1277,0,1223,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1277,0,1223,0
MultinomialNB,0.7656,0.6854535695115406,1.0,0.813375796178344,0.5208503679476697,1.0,1277,586,637,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,1277,0,1223,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1277,0,1223,0
