,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,2154,0,346,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,2154,0,346,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,2154,0,346,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,2154,0,346,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,2154,0,346,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,2154,0,346,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,2154,0,346,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,2154,0,346,0
MultinomialNB,0.9264,0.9213002566295979,1.0,0.9590382902938557,0.4682080924855491,1.0,2154,184,162,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,2154,0,346,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,2154,0,346,0
