,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,2432,0,2568,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,2432,0,2568,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,2432,0,2568,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,2432,0,2568,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,2432,0,2568,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,2432,0,2568,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,2432,0,2568,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,2432,0,2568,0
MultinomialNB,0.7188,0.6336633663366337,1.0,0.7757575757575758,0.45249221183800625,1.0,2432,1406,1162,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,2432,0,2568,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,2432,0,2568,0
