,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,1224,0,1276,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1224,0,1276,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1224,0,1276,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,1224,0,1276,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1224,0,1276,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1224,0,1276,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1224,0,1276,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1224,0,1276,0
MultinomialNB,0.802,0.7120418848167539,1.0,0.8318042813455658,0.6120689655172413,1.0,1224,495,781,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,1224,0,1276,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1224,0,1276,0
