,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,19,0,19,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,19,0,19,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,19,0,19,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,19,0,19,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,19,0,19,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,19,0,19,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,19,0,19,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,19,0,19,0
MultinomialNB,0.8157894736842105,0.8,0.8421052631578947,0.8205128205128205,0.7894736842105263,0.8421052631578947,16,4,15,3
GaussianNB,0.868421052631579,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.7894736842105263,0.9473684210526315,18,4,15,1
SVC,1.0,1.0,1.0,1.0,1.0,1.0,19,0,19,0
