,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,90,0,92,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,90,0,92,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,90,0,92,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,90,0,92,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,90,0,92,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,90,0,92,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,90,0,92,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,90,0,92,0
MultinomialNB,0.7417582417582418,0.7792207792207793,0.6666666666666666,0.7185628742514969,0.8152173913043478,0.6666666666666666,60,17,75,30
GaussianNB,0.9175824175824175,0.8947368421052632,0.9444444444444444,0.918918918918919,0.8913043478260869,0.9444444444444444,85,10,82,5
SVC,1.0,1.0,1.0,1.0,1.0,1.0,90,0,92,0
