,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,1322,0,1178,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1322,0,1178,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1322,0,1178,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,1322,0,1178,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1322,0,1178,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1322,0,1178,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1322,0,1178,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1322,0,1178,0
MultinomialNB,0.7592,0.6871101871101871,1.0,0.8145409735058534,0.48896434634974534,1.0,1322,602,576,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,1322,0,1178,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1322,0,1178,0
