,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,14,0,12,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,14,0,12,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,14,0,12,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,14,0,12,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,14,0,12,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,14,0,12,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,14,0,12,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,14,0,12,0
MultinomialNB,0.8461538461538461,0.8125,0.9285714285714286,0.8666666666666666,0.75,0.9285714285714286,13,3,9,1
GaussianNB,0.9230769230769231,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9166666666666666,0.9285714285714286,13,1,11,1
SVC,1.0,1.0,1.0,1.0,1.0,1.0,14,0,12,0
