,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,1531,0,969,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1531,0,969,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1531,0,969,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,1531,0,969,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1531,0,969,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1531,0,969,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1531,0,969,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1531,0,969,0
MultinomialNB,0.8088,0.7620706819313091,1.0,0.8649717514124293,0.5067079463364293,1.0,1531,478,491,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,1531,0,969,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1531,0,969,0
