,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,637,0,613,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,637,0,613,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,637,0,613,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,637,0,613,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,637,0,613,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,637,0,613,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,637,0,613,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,637,0,613,0
MultinomialNB,0.8416,0.7628742514970059,1.0,0.8654891304347826,0.6769983686786297,1.0,637,198,415,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,637,0,613,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,637,0,613,0
