,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,591,0,659,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,591,0,659,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,591,0,659,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,591,0,659,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,591,0,659,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,591,0,659,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,591,0,659,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,591,0,659,0
MultinomialNB,0.7672,0.6700680272108843,1.0,0.8024439918533605,0.5584218512898331,1.0,591,291,368,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,591,0,659,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,591,0,659,0
