,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,2521,0,2479,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,2521,0,2479,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,2521,0,2479,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,2521,0,2479,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,2521,0,2479,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,2521,0,2479,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,2521,0,2479,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,2521,0,2479,0
MultinomialNB,0.8576,0.779771110423755,1.0,0.8762599930483143,0.7127874142799516,1.0,2521,712,1767,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,2521,0,2479,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,2521,0,2479,0
