,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,79,0,68,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,79,0,68,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,79,0,68,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,79,0,68,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,79,0,68,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,79,0,68,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,79,0,68,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,79,0,68,0
MultinomialNB,0.7346938775510204,0.7941176470588235,0.6835443037974683,0.7346938775510204,0.7941176470588235,0.6835443037974683,54,14,54,25
GaussianNB,0.9047619047619048,0.9710144927536232,0.8481012658227848,0.9054054054054054,0.9705882352941176,0.8481012658227848,67,2,66,12
SVC,1.0,1.0,1.0,1.0,1.0,1.0,79,0,68,0
