,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,2442,0,2558,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,2442,0,2558,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,2442,0,2558,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,2442,0,2558,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,2442,0,2558,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,2442,0,2558,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,2442,0,2558,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,2442,0,2558,0
MultinomialNB,0.6398,0.5755361772330898,1.0,0.7305908750934929,0.29593432369038314,1.0,2442,1801,757,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,2442,0,2558,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,2442,0,2558,0
