,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,18,0,14,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,18,0,14,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,18,0,14,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,18,0,14,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,18,0,14,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,18,0,14,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,18,0,14,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,18,0,14,0
MultinomialNB,0.71875,0.9090909090909091,0.5555555555555556,0.6896551724137931,0.9285714285714286,0.5555555555555556,10,1,13,8
GaussianNB,0.9375,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9285714285714286,0.9444444444444444,17,1,13,1
SVC,1.0,1.0,1.0,1.0,1.0,1.0,18,0,14,0
