,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,2419,0,81,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,2419,0,81,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,2419,0,81,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,2419,0,81,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,2419,0,81,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,2419,0,81,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,2419,0,81,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,2419,0,81,0
MultinomialNB,0.98,0.9797488861887403,1.0,0.9897708674304418,0.38271604938271603,1.0,2419,50,31,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,2419,0,81,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,2419,0,81,0
