,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,148,0,131,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,148,0,131,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,148,0,131,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,148,0,131,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,148,0,131,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,148,0,131,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,148,0,131,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,148,0,131,0
MultinomialNB,0.8064516129032258,0.9433962264150944,0.6756756756756757,0.7874015748031497,0.9541984732824428,0.6756756756756757,100,6,125,48
GaussianNB,0.921146953405018,0.9632352941176471,0.8851351351351351,0.9225352112676056,0.9618320610687023,0.8851351351351351,131,5,126,17
SVC,1.0,1.0,1.0,1.0,1.0,1.0,148,0,131,0
