,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,38,0,45,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,38,0,45,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,38,0,45,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,38,0,45,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,38,0,45,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,38,0,45,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,38,0,45,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,38,0,45,0
MultinomialNB,0.8433734939759037,0.8378378378378378,0.8157894736842105,0.8266666666666665,0.8666666666666667,0.8157894736842105,31,6,39,7
GaussianNB,0.9397590361445783,0.9714285714285714,0.8947368421052632,0.9315068493150684,0.9777777777777777,0.8947368421052632,34,1,44,4
SVC,1.0,1.0,1.0,1.0,1.0,1.0,38,0,45,0
