,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,60,0,68,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,60,0,68,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,60,0,68,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,60,0,68,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,60,0,68,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,60,0,68,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,60,0,68,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,60,0,68,0
MultinomialNB,0.71875,0.7307692307692307,0.6333333333333333,0.6785714285714285,0.7941176470588235,0.6333333333333333,38,14,54,22
GaussianNB,0.9296875,0.9322033898305084,0.9166666666666666,0.9243697478991596,0.9411764705882353,0.9166666666666666,55,4,64,5
SVC,1.0,1.0,1.0,1.0,1.0,1.0,60,0,68,0
