,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,16,0,10,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,16,0,10,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,16,0,10,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,16,0,10,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,16,0,10,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,16,0,10,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,16,0,10,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,16,0,10,0
MultinomialNB,0.8076923076923077,1.0,0.6875,0.8148148148148148,1.0,0.6875,11,0,10,5
GaussianNB,0.8846153846153846,1.0,0.8125,0.896551724137931,1.0,0.8125,13,0,10,3
SVC,1.0,1.0,1.0,1.0,1.0,1.0,16,0,10,0
