,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,1867,0,1883,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1867,0,1883,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1867,0,1883,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,1867,0,1883,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1867,0,1883,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1867,0,1883,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1867,0,1883,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1867,0,1883,0
MultinomialNB,0.7797333333333333,0.6932788711474193,1.0,0.818859649122807,0.5613382899628253,1.0,1867,826,1057,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,1867,0,1883,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1867,0,1883,0
