,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,608,0,642,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,608,0,642,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,608,0,642,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,608,0,642,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,608,0,642,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,608,0,642,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,608,0,642,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,608,0,642,0
MultinomialNB,0.7048,0.6223132036847492,1.0,0.767192429022082,0.4252336448598131,1.0,608,369,273,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,608,0,642,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,608,0,642,0
