,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,2461,0,2539,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,2461,0,2539,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,2461,0,2539,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,2461,0,2539,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,2461,0,2539,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,2461,0,2539,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,2461,0,2539,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,2461,0,2539,0
MultinomialNB,0.8004,0.7114773055796473,1.0,0.831418918918919,0.6069318629381646,1.0,2461,998,1541,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,2461,0,2539,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,2461,0,2539,0
