,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,602,0,648,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,602,0,648,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,602,0,648,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,602,0,648,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,602,0,648,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,602,0,648,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,602,0,648,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,602,0,648,0
MultinomialNB,0.6176,0.5574074074074075,1.0,0.7158145065398336,0.2623456790123457,1.0,602,478,170,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,602,0,648,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,602,0,648,0
