,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,42,0,47,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,42,0,47,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,42,0,47,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,42,0,47,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,42,0,47,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,42,0,47,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,42,0,47,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,42,0,47,0
MultinomialNB,0.7865168539325843,0.7446808510638298,0.8333333333333334,0.7865168539325842,0.7446808510638298,0.8333333333333334,35,12,35,7
GaussianNB,0.8426966292134831,0.7692307692307693,0.9523809523809523,0.8510638297872339,0.7446808510638298,0.9523809523809523,40,12,35,2
SVC,1.0,1.0,1.0,1.0,1.0,1.0,42,0,47,0
