,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,76,0,78,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,76,0,78,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,76,0,78,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,76,0,78,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,76,0,78,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,76,0,78,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,76,0,78,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,76,0,78,0
MultinomialNB,0.7467532467532467,0.7466666666666667,0.7368421052631579,0.7417218543046358,0.7564102564102564,0.7368421052631579,56,19,59,20
GaussianNB,0.8831168831168831,0.8452380952380952,0.9342105263157895,0.8875000000000001,0.8333333333333334,0.9342105263157895,71,13,65,5
SVC,1.0,1.0,1.0,1.0,1.0,1.0,76,0,78,0
