,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,91,0,102,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,91,0,102,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,91,0,102,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,91,0,102,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,91,0,102,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,91,0,102,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,91,0,102,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,91,0,102,0
MultinomialNB,0.7927461139896373,0.9180327868852459,0.6153846153846154,0.7368421052631579,0.9509803921568627,0.6153846153846154,56,5,97,35
GaussianNB,0.9222797927461139,0.9523809523809523,0.8791208791208791,0.9142857142857143,0.9607843137254902,0.8791208791208791,80,4,98,11
SVC,1.0,1.0,1.0,1.0,1.0,1.0,91,0,102,0
