,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,45,0,30,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,45,0,30,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,45,0,30,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,45,0,30,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,45,0,30,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,45,0,30,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,45,0,30,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,45,0,30,0
MultinomialNB,0.7466666666666667,1.0,0.5777777777777777,0.732394366197183,1.0,0.5777777777777777,26,0,30,19
GaussianNB,0.88,1.0,0.8,0.888888888888889,1.0,0.8,36,0,30,9
SVC,1.0,1.0,1.0,1.0,1.0,1.0,45,0,30,0
