,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,1847,0,1903,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1847,0,1903,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1847,0,1903,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,1847,0,1903,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1847,0,1903,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1847,0,1903,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1847,0,1903,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1847,0,1903,0
MultinomialNB,0.6426666666666667,0.5795418889237527,1.0,0.7338100913786253,0.29584866001050975,1.0,1847,1340,563,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,1847,0,1903,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1847,0,1903,0
