,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,1264,0,1236,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1264,0,1236,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1264,0,1236,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,1264,0,1236,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1264,0,1236,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1264,0,1236,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1264,0,1236,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1264,0,1236,0
MultinomialNB,0.8472,0.7679222357229648,1.0,0.8687285223367699,0.6909385113268608,1.0,1264,382,854,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,1264,0,1236,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1264,0,1236,0
