,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,74,0,71,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,74,0,71,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,74,0,71,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,74,0,71,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,74,0,71,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,74,0,71,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,74,0,71,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,74,0,71,0
MultinomialNB,0.8620689655172413,0.95,0.7702702702702703,0.8507462686567164,0.9577464788732394,0.7702702702702703,57,3,68,17
GaussianNB,0.9379310344827586,0.9710144927536232,0.9054054054054054,0.937062937062937,0.971830985915493,0.9054054054054054,67,2,69,7
SVC,1.0,1.0,1.0,1.0,1.0,1.0,74,0,71,0
