,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,70,0,71,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,70,0,71,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,70,0,71,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,70,0,71,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,70,0,71,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,70,0,71,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,70,0,71,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,70,0,71,0
MultinomialNB,0.8865248226950354,0.95,0.8142857142857143,0.8769230769230769,0.9577464788732394,0.8142857142857143,57,3,68,13
GaussianNB,0.9645390070921985,0.9850746268656716,0.9428571428571428,0.9635036496350364,0.9859154929577465,0.9428571428571428,66,1,70,4
SVC,1.0,1.0,1.0,1.0,1.0,1.0,70,0,71,0
