,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,117,0,138,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,117,0,138,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,117,0,138,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,117,0,138,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,117,0,138,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,117,0,138,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,117,0,138,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,117,0,138,0
MultinomialNB,0.7803921568627451,0.7904761904761904,0.7094017094017094,0.7477477477477478,0.8405797101449275,0.7094017094017094,83,22,116,34
GaussianNB,0.9215686274509803,0.9369369369369369,0.8888888888888888,0.9122807017543859,0.9492753623188406,0.8888888888888888,104,7,131,13
SVC,1.0,1.0,1.0,1.0,1.0,1.0,117,0,138,0
