,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,150,0,135,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,150,0,135,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,150,0,135,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,150,0,135,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,150,0,135,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,150,0,135,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,150,0,135,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,150,0,135,0
MultinomialNB,0.8210526315789474,0.8666666666666667,0.78,0.8210526315789474,0.8666666666666667,0.78,117,18,117,33
GaussianNB,0.9403508771929825,0.9523809523809523,0.9333333333333333,0.9427609427609427,0.9481481481481482,0.9333333333333333,140,7,128,10
SVC,1.0,1.0,1.0,1.0,1.0,1.0,150,0,135,0
