,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,11,0,14,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,11,0,14,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,11,0,14,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,11,0,14,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,11,0,14,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,11,0,14,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,11,0,14,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,11,0,14,0
MultinomialNB,0.8,0.75,0.8181818181818182,0.7826086956521738,0.7857142857142857,0.8181818181818182,9,3,11,2
GaussianNB,0.92,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9285714285714286,0.9090909090909091,10,1,13,1
SVC,1.0,1.0,1.0,1.0,1.0,1.0,11,0,14,0
