,Accu,Precision,Recall,F1,TNR,TPR,TP,FP,TN,FN
PassiveAgressive,1.0,1.0,1.0,1.0,1.0,1.0,1245,0,1255,0
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1245,0,1255,0
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1245,0,1255,0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0,1245,0,1255,0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1245,0,1255,0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0,1245,0,1255,0
DecisionTree,1.0,1.0,1.0,1.0,1.0,1.0,1245,0,1255,0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1245,0,1255,0
MultinomialNB,0.7296,0.6480999479437792,1.0,0.7864813644977889,0.4613545816733068,1.0,1245,676,579,0
GaussianNB,1.0,1.0,1.0,1.0,1.0,1.0,1245,0,1255,0
SVC,1.0,1.0,1.0,1.0,1.0,1.0,1245,0,1255,0
